in_degree,sd_kclip_5,cnt,mean,ci_lower,ci_upper
0,0,116135,0.6139288716032921,0.6008927290740809,0.6268310507648426
1,1,33011,2.0911760556367054,2.0448167191260755,2.137902873318219
2,1,1133,2.176708378383919,1.915179051241601,2.427098305004451
2,2,19344,3.164040048922233,3.0854959747849118,3.2430628878124317
3,1,253,2.1665986721212787,1.6676822821754205,2.6216893059877466
3,2,1027,3.223304100295227,2.9171906423394587,3.5273295258944395
3,3,9490,5.216087037400018,5.071156468932123,5.360517698428586
4,1,131,2.2882547336966192,1.5113936242107764,3.0007938280975752
4,2,281,2.912234729409275,2.344411264859024,3.4713578001167917
4,3,878,4.710063626130898,4.277735002396978,5.134113942159958
4,4,5866,7.094834124018588,6.889113816587128,7.297986778422473
5,1,59,2.2125208849308136,1.2281460778000866,3.1046958888284983
5,2,172,3.2700569835014353,2.4590922907666606,4.036366352238705
5,3,294,4.293178448565462,3.6418235593876815,4.936084777719808
5,4,746,6.686343700838538,6.121216684473489,7.242886716070113
5,5,3858,8.984033446483576,8.705779660350714,9.255784744101643
6,1,33,2.0678565127411948,0.4310392581117828,3.3677056673129706
6,2,80,4.754943942152115,3.3955593887545366,6.0046199537026705
6,3,146,4.444268385109367,3.410442163934718,5.399697731373953
6,4,248,5.773715553100308,4.8552936107481255,6.677322993278957
6,5,686,7.227098789412632,6.602689240476023,7.841903615612962
6,6,2736,10.618666628780797,10.253974536439085,10.97725956936146
7,1,16,4.645494157782409,2.0686580258333116,7.014903183864876
7,2,49,3.4581041452854926,1.8196710329562684,4.9022069945559705
7,3,70,5.23609842431316,3.7110980556860147,6.674294304469052
7,4,143,6.420292507409961,5.211951697832345,7.601266756703863
7,5,207,6.340809176326178,5.2988487852966655,7.336896886390788
7,6,532,9.880338276283206,9.079693901883303,10.666941678547804
7,7,2034,12.378546260392408,11.947743696754952,12.804907906912861
8,1,6,7.446667314817772,1.6562760820262987,12.524563595140595
8,2,22,3.9510553893170948,1.4248578360164013,6.223419141908562
8,3,46,4.14110993141048,2.438931552739607,5.66820480687411
8,4,76,5.231185955260743,3.585138464852502,6.7470810875229486
8,5,148,7.20932483966877,5.742886172474389,8.5530836081239
8,6,235,8.646209336180465,7.470452105482787,9.772689255289013
8,7,467,10.490769232660236,9.618895720103682,11.35113739743899
8,8,1611,13.798956822680127,13.295794056511863,14.317362393307773
9,1,6,2.300642167000808,-2.3006421670008077,4.601284334001616
9,2,21,4.520836828121044,1.2402150345719356,7.010773497752682
9,3,34,4.817195675815255,2.7164574139908817,6.757805985379081
9,4,43,4.885308718672019,2.8429891862817085,6.755842523305292
9,5,94,7.0578592200386385,5.272871772383738,8.676744266565244
9,6,110,9.55207486131421,7.666980444218705,11.340217062520622
9,7,174,10.213667401941484,8.752886856371857,11.65120931372398
9,8,356,11.774084301391179,10.704440674931767,12.812262221808906
9,9,1167,15.950667003133036,15.337963293469379,16.566283737925446
10,1,10,7.789579755833141,2.6823374788382264,12.403231817447814
10,2,8,3.172867276210202,-0.05626569201971243,5.601942163895162
10,3,21,3.877792744924047,0.0024906970348439472,6.530167639979557
10,4,34,5.229429688046155,3.156130550171656,7.138356459722292
10,5,52,9.062127459755347,6.645044817362706,11.378611231212576
10,6,87,8.441587067696384,6.653819382021455,10.157066475061882
10,7,82,9.959395414044655,8.011717982418604,11.841161645101879
10,8,158,10.551491059568505,9.070434012408755,11.956298579661404
10,9,314,12.541125201598602,11.369219833566774,13.66738862211751
10,10,1047,15.932018672281279,15.290097446396153,16.57512592094833
