in_degree,strong_SD,cnt,mean,ci_lower,ci_upper
0,0,116135,0.6139288716032921,0.6009785007754906,0.6267877995755616
1,1,33011,2.0911760556367054,2.0436577044049806,2.138942382714644
2,1,620,1.925015824617182,1.6039599613210704,2.2328320864846587
2,2,19857,3.14639127198459,3.0706153332549753,3.2233747857251207
3,1,138,2.271781050131544,1.5758886486999555,2.9153799738375175
3,2,599,3.005245581671412,2.619589568858063,3.3900133442475546
3,3,10033,5.107694694671257,4.9703331145328855,5.24589945521604
4,1,65,2.785787026099092,1.372536177742484,3.9676300021344266
4,2,153,2.6777993604560733,1.9181151528500702,3.3778654199715508
4,3,557,4.446168742331902,3.91491127066333,4.963377289820462
4,4,6381,6.864838852215819,6.674633130428258,7.062360058613768
5,1,25,1.3545229800139027,-0.25773013444562753,2.574669443842067
5,2,89,2.8023604119634635,1.849818087773773,3.6767210358399915
5,3,159,3.835686222393766,2.97186318417889,4.609365622128764
5,4,466,5.920369529700291,5.247013647016023,6.570430336837161
5,5,4390,8.645001588438396,8.388449957187971,8.905801252082691
6,1,15,0.8610618351441001,-0.25926535824421015,1.7221236702882001
6,2,41,3.902925977051743,2.3410581464736966,5.412152474341567
6,3,75,4.9043155378247425,3.520357102520161,6.226593498827276
6,4,146,4.464640287428497,3.470846944247328,5.435937070315447
6,5,457,6.623623579665246,5.9065833820563105,7.332996865538973
6,6,3195,10.11588359053962,9.779872271795835,10.447713316039364
7,1,9,3.55259064322306,0.021423018003892125,6.496407235255573
7,2,25,4.3150939821939485,1.784094949264035,6.526211091368934
7,3,34,6.008128844332333,3.966629020992622,8.02918617111658
7,4,75,6.222717697490819,4.483960134871132,7.872055908779565
7,5,134,5.804327159876702,4.620303366624394,6.931933314595301
7,6,329,8.124562338919219,7.170190883276135,9.083606059368574
7,7,2445,11.866528655106148,11.464840069352135,12.257813231695634
8,1,3,8.680743701419088,-2.4157803576415056,17.361487402838176
8,2,7,2.5174073716770344,-0.5369097487393244,4.732021378201002
8,3,30,3.7916155167763197,2.179360701323243,5.246268039853161
8,4,30,4.521531168059313,2.04833274068677,6.756990525966312
8,5,69,6.113588900050037,4.025216743886888,7.994614110021762
8,6,118,8.114510717525734,6.50563584916523,9.640557219655065
8,7,328,9.0061663640303,7.997454685246694,10.002420513415979
8,8,2026,12.991797337481486,12.536680638282927,13.44803692698482
9,1,2,0.0,0.0,0.0
9,2,10,6.623242414847295,3.828555791481392,9.40778067542113
9,3,19,4.2819297979036515,1.584412693505378,6.631308930576478
9,4,25,4.149965795263094,2.1292212882176917,5.9660256015108
9,5,41,5.55850293638592,3.290810415679374,7.69610546741975
9,6,64,8.465938104371075,6.288714543646366,10.52401129971684
9,7,124,9.940369500718257,8.158370236464151,11.655108104553465
9,8,243,9.418841235247106,8.22353237408536,10.617255352597315
9,9,1477,15.055856977030997,14.504838725570309,15.594660378170174
10,1,4,2.872529114188711,-0.35296943570611816,5.745058228377422
10,2,6,0.0,0.0,0.0
10,3,10,5.299395073271379,1.8748992768969472,8.313435289663788
10,4,11,7.280889288415107,1.7871078844706805,12.13498305443468
10,5,31,4.674950468259139,2.233077472596209,6.859593076365828
10,6,25,8.328605854783284,5.209849891193251,11.23783676410315
10,7,55,7.085196314063644,4.828804481438599,9.170162523954396
10,8,104,9.721922640355228,7.989670635163028,11.397067698941038
10,9,230,10.81408425553506,9.54470053153813,12.0633291332082
10,10,1337,15.172017187176241,14.604786241094116,15.750977220941454
