index,coeff,ci_lower,ci_upper,tvals,pvals,rsquare,rsquare_adj,ivs,dv
Intercept,-0.013590698525903486,-0.013981896419084223,-0.013199500632722749,-68.09192357511411,0.0,0.7000022948205682,0.699999737665977,log_in_degree+log_kclip_5_weak_SB_f20,social_status
log_in_degree,-0.25089992302334896,-0.2685241081601439,-0.233275737886554,-27.902416240735338,4.7583798229434475e-171,0.7000022948205682,0.699999737665977,log_in_degree+log_kclip_5_weak_SB_f20,social_status
log_kclip_5_weak_SB_f20,1.0887193356607971,1.0706264975716095,1.1068121737499848,117.93957831385123,0.0,0.7000022948205682,0.699999737665977,log_in_degree+log_kclip_5_weak_SB_f20,social_status
Intercept,-0.013085452524499191,-0.013478498478036165,-0.012692406570962218,-65.25228854286101,0.0,0.7000783161102238,0.7000757596036314,log_weak_SD+log_kclip_5_weak_SB_f20,social_status
log_weak_SD,-0.4549772107774288,-0.4857780302627021,-0.4241763912921555,-28.95194224994969,5.607921342182336e-184,0.7000783161102238,0.7000757596036314,log_weak_SD+log_kclip_5_weak_SB_f20,social_status
log_kclip_5_weak_SB_f20,1.2765922401735237,1.2464860418256112,1.3066984385214362,83.10872372004118,0.0,0.7000783161102238,0.7000757596036314,log_weak_SD+log_kclip_5_weak_SB_f20,social_status
Intercept,-0.01368471110525607,-0.014076363611328456,-0.013293058599183684,-68.48335922660115,0.0,0.6992803284275336,0.699277765118963,log_strong_SD+log_kclip_5_weak_SB_f20,social_status
log_strong_SD,-0.17096409724696127,-0.19390397655014438,-0.14802421794377815,-14.607103959403238,2.6573787650359448e-48,0.6992803284275336,0.699277765118963,log_strong_SD+log_kclip_5_weak_SB_f20,social_status
log_kclip_5_weak_SB_f20,1.0064289857868345,0.9830633701019549,1.029794601471714,84.42211698216138,0.0,0.6992803284275336,0.699277765118963,log_strong_SD+log_kclip_5_weak_SB_f20,social_status
Intercept,-0.013273164594686568,-0.013665123254358003,-0.012881205935015133,-66.37194541769409,0.0,0.7001019336198364,0.7000993773145577,log_sd_kclip_5+log_kclip_5_weak_SB_f20,social_status
log_sd_kclip_5,-0.5167379081533177,-0.5513391242246213,-0.4821366920820141,-29.27044274554645,5.39290717130695e-188,0.7001019336198364,0.7000993773145577,log_sd_kclip_5+log_kclip_5_weak_SB_f20,social_status
log_kclip_5_weak_SB_f20,1.3422164294083019,1.308052348404037,1.3763805104125668,77.00220097656701,0.0,0.7001019336198364,0.7000993773145577,log_sd_kclip_5+log_kclip_5_weak_SB_f20,social_status
